node_type_from,node_id_from,edge_type,node_type_to,node_id_to,attributes
trial,NCT02041130,PRESPECIFIES,outcome_specified,Compare the changes in exercise capacity and functional status as assessed by maximal oxygen consumption (VO2max) on cardiopulmonary exercise testing and by 6-minute walk test between baseline and 6 months,"{""time_frame"": ""baseline, 6 months""}"
trial,NCT02041130,PRESPECIFIES,outcome_specified,"Compare the changes in chocardiographic grade of diastolic dysfunction as assessed by Tissue Doppler E/e', (a non-invasive estimate of left atrial filling pressure).","{""time_frame"": ""baseline, 6 months""}"
trial,NCT02041130,PRESPECIFIES,outcome_specified,Compare the changes in biomarkers of cardiac load and interstitial fibrosis as assessed by plasma assays of relevant biomarkers,"{""time_frame"": ""baseline, 6 months""}"
trial,NCT02041130,PRESPECIFIES,outcome_specified,"Compare the changes in ventricular-vascular function as evaluated by echocardiographic measures of arterial elastance, Left Ventricular (LV) end-systolic elastance, LV filling pressure, and LV diastolic stiffness between baseline and 6 months","{""time_frame"": ""baseline, 6 months""}"
trial,NCT02041130,PRESPECIFIES,outcome_specified,Compare the changes of Quality of life as assessed by the Minnesota Living with Heart Failure between baseline and 6 months.,"{""time_frame"": ""baseline, 6 months""}"
trial,NCT02041130,PRESPECIFIES,outcome_specified,Compare the difference in composite end-point of death or hospitalization with Heart Failure between control arm and treatment arm,"{""time_frame"": ""baseline, 6 months""}"
trial,NCT02053493,TESTS,intervention_class,Other,{}
trial,NCT02053493,COMPARES,comparator_class,Placebo/SoC,{}
trial,NCT02053493,PRESPECIFIES,outcome_specified,Arbitrary Accelerometry Units (AAU) (Phase I),"{""time_frame"": ""5-6 weeks""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,Arbitrary Accelerometry Units (AAU) (Phase II),"{""time_frame"": ""11-12 weeks""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,Six Minute Walk Distance (Phase I),"{""time_frame"": ""Week 7""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,Six Minute Walk Distance (Phase II),"{""time_frame"": ""Week 13""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,Patient Preference for Isosorbide Mononitrate Treatment at the End of Study.,"{""time_frame"": ""Week 13""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,Borg Score During 6 Minute Walk Test (Phase I),"{""time_frame"": ""Week 7""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,Borg Score During 6 Minute Walk Test (Phase II),"{""time_frame"": ""Week 13""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,Kansas City Cardiomyopathy Questionnaire Overall Summary Score (Phase I),"{""time_frame"": ""Week 7""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,Kansas City Cardiomyopathy Questionnaire Overall Summary Score (Phase II),"{""time_frame"": ""Week 13""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,N-terminal Pro-B-type Natriuretic Peptide Level (Phase I),"{""time_frame"": ""Week 7""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,N-terminal Pro-B-type Natriuretic Peptide Level (Phase II),"{""time_frame"": ""Week 13""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,Improvement in Daily Activity - Hours Active Per Day (Phase I),"{""time_frame"": ""5-6 weeks""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,Improvement in Daily Activity - Hours Active Per Day (Phase II),"{""time_frame"": ""11-12 weeks""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,Improvement in Daily Activity - Slope of Daily Average (Phase I),"{""time_frame"": ""3-6 weeks""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,Improvement in Daily Activity - Slope of Daily Average (Phase II),"{""time_frame"": ""9-12 weeks""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,Improvement in Daily Activity - Area Under the Curve (Phase I),"{""time_frame"": ""3-6 weeks""}"
trial,NCT02053493,PRESPECIFIES,outcome_specified,Improvement in Daily Activity - Area Under the Curve (Phase II),"{""time_frame"": ""9-12 weeks""}"
trial,NCT02053493,HAS_RESULTS_POSTED,report_artifact,CTGOV_RESULTS_POSTED,{}
trial,NCT02068040,TESTS,intervention_class,Other,{}
trial,NCT02068040,PRESPECIFIES,outcome_specified,Change from baseline in exercise capacity,"{""time_frame"": ""Baseline and 3 months""}"
trial,NCT02068040,PRESPECIFIES,outcome_specified,Change from baseline in skeletal muscle metabolism,"{""time_frame"": ""Baseline and 3 months""}"
trial,NCT02068040,PRESPECIFIES,outcome_specified,"Change from baseline in pre-specified biomarker levels in blood, skeletal muscle, and urine","{""time_frame"": ""Baseline and 3 months""}"
trial,NCT02155842,TESTS,intervention_class,Other,{}
trial,NCT02155842,PRESPECIFIES,outcome_specified,Change in aerobic capacity measured as oxygen consumption,"{""time_frame"": ""Baseline and 7 months""}"
trial,NCT02155842,PRESPECIFIES,outcome_specified,"Feasibility, measured as attrition rate and compliance with exercise","{""time_frame"": ""Baseline to 7 months""}"
trial,NCT02155842,PRESPECIFIES,outcome_specified,"Blood-risk profile, measured as changes in cholesterol, hemoglobin, N terminal-proBNP","{""time_frame"": ""Baseline to 7 months""}"
trial,NCT02155842,PRESPECIFIES,outcome_specified,"Cardiac function measured as volume, size, efficacy","{""time_frame"": ""Baseline to 7 months""}"
trial,NCT02155842,PRESPECIFIES,outcome_specified,Arterial function measured as blood-vessel elasticity,"{""time_frame"": ""Baseline to 7 months""}"
trial,NCT02155842,PRESPECIFIES,outcome_specified,Quality of life,"{""time_frame"": ""Baseline to 7 months""}"
trial,NCT02155842,PRESPECIFIES,outcome_specified,Changes in everyday activity level,"{""time_frame"": ""Baseline to 7 months""}"
trial,NCT02155842,PRESPECIFIES,outcome_specified,Change in diastolic filling pressure measured as E/é,"{""time_frame"": ""Baseline to 7 months""}"
trial,NCT02262078,TESTS,intervention_class,Other,{}
trial,NCT02262078,COMPARES,comparator_class,Placebo/SoC,{}
trial,NCT02262078,PRESPECIFIES,outcome_specified,Change in Pulmonary Capillary Wedge Pressure During Exercise,"{""time_frame"": ""Baseline, after study drug dosing, approximately 4 minutes after starting exercise""}"
trial,NCT02262078,HAS_RESULTS_POSTED,report_artifact,CTGOV_RESULTS_POSTED,{}
trial,NCT03402490,TESTS,intervention_class,Other,{}
trial,NCT03402490,COMPARES,comparator_class,Placebo/SoC,{}
trial,NCT03402490,PRESPECIFIES,outcome_specified,Adherence to intervention,"{""time_frame"": ""Over 6 month intervention period""}"
trial,NCT03402490,PRESPECIFIES,outcome_specified,Patient acceptance of intervention,"{""time_frame"": ""At 6-month assessment""}"
trial,NCT03402490,PRESPECIFIES,outcome_specified,Effectiveness (peak VO2),"{""time_frame"": ""Change from baseline to 6-month assessment""}"
trial,NCT03402490,PRESPECIFIES,outcome_specified,Effectiveness (6-minute walk distance),"{""time_frame"": ""Change from baseline to 6-month assessment""}"
trial,NCT03402490,PRESPECIFIES,outcome_specified,Motivation,"{""time_frame"": ""Change from baseline to 6-month assessment.""}"
trial,NCT03402490,PRESPECIFIES,outcome_specified,Physical activity,"{""time_frame"": ""Change from baseline to 6-month assessment.""}"
trial,NCT01157481,TESTS,intervention_class,Other,{}
trial,NCT01157481,PRESPECIFIES,outcome_specified,Heart failure clinical composite response endpoint,"{""time_frame"": ""up to 53 months""}"
trial,NCT01157481,PRESPECIFIES,outcome_specified,Death,"{""time_frame"": ""up to 53 months""}"
trial,NCT01157481,PRESPECIFIES,outcome_specified,Cardiovascular death,"{""time_frame"": ""up to 53 months""}"
trial,NCT01157481,PRESPECIFIES,outcome_specified,Hospital admission,"{""time_frame"": ""up to 53 months""}"
trial,NCT01157481,PRESPECIFIES,outcome_specified,Hospital admission for cardiovascular disease,"{""time_frame"": ""up to 53 months""}"
trial,NCT01157481,PRESPECIFIES,outcome_specified,Hospital admission for worsening heart failure,"{""time_frame"": ""up to 53 months""}"
trial,NCT01157481,PRESPECIFIES,outcome_specified,"Hospital admission for acute myocardial infarction, angina, coronary artery bypass grafting and percutaneous coronary intervention","{""time_frame"": ""up to 53 months""}"
trial,NCT01157481,PRESPECIFIES,outcome_specified,Stroke,"{""time_frame"": ""up to 53 months""}"
trial,NCT01516346,TESTS,intervention_class,Other,{}
trial,NCT01516346,COMPARES,comparator_class,Placebo/SoC,{}
trial,NCT01516346,PRESPECIFIES,outcome_specified,Wave Reflection Magnitude,"{""time_frame"": ""24 weeks""}"
trial,NCT01516346,PRESPECIFIES,outcome_specified,LV Mass,"{""time_frame"": ""24 weeks""}"
trial,NCT01516346,PRESPECIFIES,outcome_specified,Quality of Life (Kansas City Cardiomyopathy Questionnaire Score),"{""time_frame"": ""24 weeks""}"
trial,NCT01516346,PRESPECIFIES,outcome_specified,Early Diastolic Mitral Annular Velocity,"{""time_frame"": ""24 weeks""}"
trial,NCT01516346,PRESPECIFIES,outcome_specified,Myocardial Extracellular Volume Fraction,"{""time_frame"": ""24 weeks""}"
trial,NCT01516346,HAS_RESULTS_POSTED,report_artifact,CTGOV_RESULTS_POSTED,{}
