nct_id,outcome_domain,time_frame,time_months,module_path,group_id,arm_group_name,arm_role,arm_class,arm_label,subjects_with_sae,event_count,denominator,count_type,is_event_count,is_incomplete,source_url
NCT02713126,SAE,"Adverse events were collected from the initiation of any study procedures to the end of the study treatment follow-up, approximately a total of 14 weeks for each participant.",3.222094361334868,resultsSection.adverseEventsModule,EG000,Placebo,comparator,Placebo/SoC,placebo,1,,36,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02713126
NCT02713126,SAE,"Adverse events were collected from the initiation of any study procedures to the end of the study treatment follow-up, approximately a total of 14 weeks for each participant.",3.222094361334868,resultsSection.adverseEventsModule,EG001,Sodium Nitrite,treatment,Other,sodium nitrite,2,,37,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02713126
NCT02742129,SAE,Consent to 2 weeks post end of Phase 2,0.4602991944764097,resultsSection.adverseEventsModule,EG000,AIR001,treatment,Other,air001,1,,103,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02742129
NCT02742129,SAE,Consent to 2 weeks post end of Phase 2,0.4602991944764097,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,2,,102,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02742129
NCT02840799,SAE,"Adverse events were collected for each participant starting on their baseline visit to 6 weeks per intervention with 1 week wash-out between, up to 13 weeks",1.3808975834292292,resultsSection.adverseEventsModule,EG002,Baseline Visit,treatment,Other,baseline visit,1,,84,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02840799
NCT02840799,SAE,"Adverse events were collected for each participant starting on their baseline visit to 6 weeks per intervention with 1 week wash-out between, up to 13 weeks",1.3808975834292292,resultsSection.adverseEventsModule,EG001,Potassium Chloride (KCl),treatment,Other,potassium chloride (kcl),1,,74,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02840799
NCT02840799,SAE,"Adverse events were collected for each participant starting on their baseline visit to 6 weeks per intervention with 1 week wash-out between, up to 13 weeks",1.3808975834292292,resultsSection.adverseEventsModule,EG000,Potassium Nitrate (KNO3),treatment,Other,potassium nitrate (kno3),1,,77,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02840799
NCT02884206,SAE,"Adverse events were reported from first dose of study treatment until end of study treatment plus 30 days post treatment, up to a maximum duration of 37 months.",37.0,resultsSection.adverseEventsModule,EG003,LCZ696 200 mg Bid,treatment,ARNI,lcz696,15,,295,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02884206
NCT02884206,SAE,"Adverse events were reported from first dose of study treatment until end of study treatment plus 30 days post treatment, up to a maximum duration of 37 months.",37.0,resultsSection.adverseEventsModule,EG002,LCZ696 Run-in 100 mg Bid,treatment,ARNI,lcz696,3,,659,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02884206
NCT02884206,SAE,"Adverse events were reported from first dose of study treatment until end of study treatment plus 30 days post treatment, up to a maximum duration of 37 months.",37.0,resultsSection.adverseEventsModule,EG004,Valsartan 160 mg Bid,treatment,ARB/ACEi,valsartan,15,,297,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02884206
NCT02884206,SAE,"Adverse events were reported from first dose of study treatment until end of study treatment plus 30 days post treatment, up to a maximum duration of 37 months.",37.0,resultsSection.adverseEventsModule,EG000,Valsartan Run-in 40 mg Bid,treatment,ARB/ACEi,valsartan,1,,318,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02884206
